id	project	intent	commits	summary
win-external-angle	external/angle	packaging-noise	1	34fee3e7a [A13] deinit some third party repos
win-external-auto	external/auto	packaging-noise	1	0be2ff0b [A13] Removing .github workflows
win-external-bcc	external/bcc	packaging-noise	1	98495b1a [A13] Removing .github workflows
win-external-boringssl	external/boringssl	functional	4	2350d55e Merge remote-tracking branch 'remotes/origin/bst-v5.22.0-A13-BootTimeOpt' into bst-v5.22.0
9fd2a153 ROB-13448: Remove two SSL test services to improve boot time (#2)
06c2c
win-external-bpftool	external/bpftool	packaging-noise	1	2c228fc [A13] Removing .github workflows
win-external-brotli	external/brotli	packaging-noise	1	c0c0cc9 [A13] Removing .github workflows
win-external-capstone	external/capstone	packaging-noise	1	50ca5a21 [A13] Removing .github workflows
win-external-cpu_features	external/cpu_features	packaging-noise	1	69a6a92 [A13] Removing .github workflows
win-external-dagger2	external/dagger2	packaging-noise	1	01bf65cd [A13] Removing .github workflows
win-external-deqp-deps-glslang	external/deqp-deps/glslang	packaging-noise	1	763e3bf1 [A13] Removing .github workflows
win-external-deqp-deps-SPIRV-Headers	external/deqp-deps/SPIRV-Headers	packaging-noise	1	a747db7 [A13] Removing .github workflows
win-external-deqp-deps-SPIRV-Tools	external/deqp-deps/SPIRV-Tools	packaging-noise	1	b7bedb24 [A13] Removing .github workflows
win-external-deqp	external/deqp	cts-optional	7	70230f02d Adding android - cts -master: part 4
ce67e6b29 Adding android - cts -master: part 3
a96d28c08 Adding android - cts -master: part 2
053130d04 Adding android - cts -master

win-external-flac	external/flac	packaging-noise	1	bdd97a2c [A13] Removing .github workflows
win-external-fmtlib	external/fmtlib	packaging-noise	1	e1c8c672 [A13] Removing .github workflows
win-external-fonttools	external/fonttools	packaging-noise	1	713ffe6 [A13] Removing .github workflows
win-external-freetype	external/freetype	cts-optional	1	b1517c5ef removing submodule subprojects/dlg
win-external-fsverity-utils	external/fsverity-utils	packaging-noise	1	2dc01fa [A13] Removing .github workflows
win-external-go-cmp	external/go-cmp	packaging-noise	1	f8ab072 [A13] Removing .github workflows
win-external-golang-protobuf	external/golang-protobuf	packaging-noise	1	60b1c001 [A13] Removing .github workflows
win-external-google-java-format	external/google-java-format	packaging-noise	1	9cda7f5 [A13] Removing .github workflows
